Ticker,Market Cap
HUN,3614053376
HUYA,996036800
HVT,478647104
HWM,39108644864
HXL,5115789824
HY,1046565760
HYAC,313322752
HYB,188400096
HYI,274873088
HYLN,347166016
HYT,1403186944
HZO,688965952
I,N/A
IAE,71119360
IAG,2897124096
IBM,178500059136
IBN,99571589120
IBP,5839459328
IBTA,1278031872
ICD,9010299
ICE,89876185088
ICL,5535001088
ICR,N/A
IDA,5433495552
IDE,159747408
IDT,920819264
IEX,14881774592
IFF,25202866176
IFIN,106079280
IFN,702982464
IFS,2690254592
IGA,142981840
IGD,443240928
IGI,192660480
IGR,821617984
IGT,4408578560
IH,83197904
IHD,97642800
IHG,15306351616
IHS,1159097472
IHTA,64931420
IIF,269261760
IIIN,628459136
IIM,596356608
IIPR,3346835456
IMAX,1053005248
INFA,7273541120
INFY,91716993024
ING,55846354944
INGR,8522393088
INN,706350720
INSI,179985104
INSP,5628846080
INST,3414239232
INSW,2519014144
INVH,21612314624
IONQ,1558473344
IOT,21663201280
IP,16354179072
IPG,11725950976
IPI,289138272
IQI,539943616
IQV,43684548608
IR,36721078272
IRM,31768289280
IRS,1057323264
IRT,4510330368
ISD,451293408
IT,37196623872
ITGR,4061298944
ITT,11032767488
ITUB,61556076544
ITW,71831986176
IVR,474738592
IVT,1917675136
IVZ,7587539968
IX,26997948416
J,18253275136
JBGS,1454226304
JBI,1541866368
JBK,N/A
JBL,12064875520
JBT,2850370304
JCE,240781200
JCI,46346809344
JEF,11823952896
JELD,1190359808
JEQ,83297520
JFR,1177011584
JGH,296438944
JHG,5787653632
JHI,118313760
JHS,133004176
JHX,14829564928
JILL,416811936
JKS,992524352
JLL,11691856896
JLS,97976904
JMIA,631909056
JMM,58477320
JNJ,383689981952
JNPR,12791274496
JOBY,3688136448
JOE,3405742080
JOF,219871072
JPC,2466416384
JPI,443150880
JPM,608778846208
JQC,775683392
JRI,347643776
JRS,241252384
JWN,3729560576
JXN,6743098880
K,27615506432
KAI,3637302784
KAR,1871505280
KB,23795148800
KBDC,1151716352
KBH,5961404928
KBR,8708121600
KCGI,127814960
KD,5465733632
KEN,1307278848
KEP,9269974016
KEX,6917892096
KEY,15211820032
KEYS,23615127552
KF,120881056
KFRC,1254596480
KFS,213865824
KFY,3648307712
KGC,11270205440
KGS,2215841536
KIM,15025956864
KIND,938372800
KIO,385923264
KKR,109792714752
KKRS,N/A
KLG,1425104256
KMB,47981101056
KMI,46786220032
KMPB,N/A
KMPR,4016360448
KMT,1955310080
KMX,12464470016
KN,1569584512
KNF,4270296064
KNOP,252250912
KNSL,11258509312
KNTK,2599706368
KNX,8651630592
KO,298156818432
KODK,404712000
KOF,19113414656
KOP,769268608
KORE,39934560
KOS,2293030656
KR,38392061952
KRC,3986365696
KREF,780691840
KRG,5591026176
KRO,1303357824
KRP,1525036032
KSM,111694264
KSS,2274162688
KT,6956875776
KTB,3994863360
KTF,382326528
KTH,N/A
KTN,N/A
KUKE,48253076
KVUE,41501736960
KVYO,8474867712
KW,1429084800
KWR,2892641280
KYN,1769057920
L,17334468608
LAAC,424219008
LAC,560257408
LAD,7749222912
LADR,1506261504
LANV,167784640
LAW,324762976
LAZ,4327234560
LB,2621021952
LBRT,3435599104
LC,1219923456
LCII,2894288128
LCW,166047840
LDI,913682688
LDOS,19940366336
LDP,577803712
LEA,6344068096
LEG,1651583488
LEN,46766292992
LEO,395235744
LEV,166349952
LEVI,7548581888
LFT,134347264
LGI,219007104
LH,19101648896
LHX,43347591168
LICY,51750460
LII,20286136320
LITB,55795220
LLAP,51293352
LLY,830300815360
LMND,1201792128
LMT,133511471104
LNC,5335675904
LND,474055840
LNG,41855975424
LNN,1319504128
LOAR,6723284480
LOB,1835638784
LOCL,22408294
LOMA,1110830464
LOW,137415712768
LPG,1637011200
LPL,4150053376
LPX,6611557376
LRN,3571766272
LSPD,2023866368
LTC,1552639488
LTH,4847203840
LTM,7253303808
LU,2489780224
LUMN,6121196032
LUV,15775803392
LVS,29729759232
LVWR,1355677568
LW,8753874944
LXP,2892626944
LXU,558644608
LYB,31556388864
LYG,46702485504
LYV,22092611584
LZB,1764724224
LZM,537023424
M,4892474880
MA,433167761408
MAA,18336215040
MAC,3363590656
MAIN,4291001856
